IP,Hostname,Found,"Lookup Time (ms)",Timestamp,Title,Description,Status,"Content Type",URL
0.0.0.0,DESKTOP-988MSUT,Yes,4,"2025-03-27 07:04:54",justiscraft,"NOT AN OFFICIAL MINECRAFT [PRODUCT/SERVICE/EVENT/etc.]. NOT APPROVED BY OR ASSOCIATED WITH MOJANG OR MICROSOFT
    Super Community Gateway. Looking for a complex and fun site? You",200,"text/html; charset=UTF-8",http://DESKTOP-988MSUT
0.0.0.1,0.0.0.1,No,4537,"2025-03-27 07:04:58"
0.0.0.2,0.0.0.2,No,4527,"2025-03-27 07:05:03"
0.0.0.3,0.0.0.3,No,4521,"2025-03-27 07:05:08"
0.0.0.4,0.0.0.4,No,4546,"2025-03-27 07:05:12"
0.0.0.5,0.0.0.5,No,4518,"2025-03-27 07:05:17"
0.0.0.6,0.0.0.6,No,4522,"2025-03-27 07:05:21"
0.0.0.7,0.0.0.7,No,4531,"2025-03-27 07:05:26"
0.0.0.8,0.0.0.8,No,4520,"2025-03-27 07:05:30"
0.0.0.9,0.0.0.9,No,4528,"2025-03-27 07:05:35"
0.0.0.10,0.0.0.10,No,4522,"2025-03-27 07:05:39"
0.0.0.11,0.0.0.11,No,4534,"2025-03-27 07:05:44"
0.0.0.12,0.0.0.12,No,4511,"2025-03-27 07:05:48"
0.0.0.13,0.0.0.13,No,4532,"2025-03-27 07:05:53"
0.0.0.14,0.0.0.14,No,4537,"2025-03-27 07:05:57"
0.0.0.15,0.0.0.15,No,4535,"2025-03-27 07:06:02"
0.0.0.16,0.0.0.16,No,4516,"2025-03-27 07:06:06"
0.0.0.17,0.0.0.17,No,4516,"2025-03-27 07:06:11"
0.0.0.18,0.0.0.18,No,4530,"2025-03-27 07:06:15"
0.0.0.19,0.0.0.19,No,4528,"2025-03-27 07:06:20"
0.0.0.20,0.0.0.20,No,4522,"2025-03-27 07:06:24"
0.0.0.21,0.0.0.21,No,4532,"2025-03-27 07:06:29"
0.0.0.22,0.0.0.22,No,4551,"2025-03-27 07:06:34"
0.0.0.23,0.0.0.23,No,4514,"2025-03-27 07:06:38"
